room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1036380,5704615,Entire home/apt,,Misericórdia,9,4.5,2.0,1.0,84.0,1.0,38.716049,-9.149201,2015-03-19 08:30:18.572
1037733,5715331,Entire home/apt,,São Domingos de Benfica,23,5.0,,5.0,529.0,2.0,38.751744,-9.17778,2015-03-19 10:06:23.516
1038192,5695645,Entire home/apt,,São Vicente,6,5.0,4.0,1.0,84.0,3.0,38.717914,-9.132986,2015-03-19 08:56:06.306
1042365,1029524,Entire home/apt,,Santo António,7,4.5,,3.0,111.0,1.0,38.715576,-9.150271,2015-03-19 10:36:35.410
1046196,5759396,Entire home/apt,,Campo de Ourique,0,,4.0,2.0,125.0,3.0,38.716434,-9.166833,2015-03-19 10:24:46.767
1046609,136230,Entire home/apt,,Misericórdia,2,2.5,,5.0,237.0,2.0,38.710424,-9.147894,2015-03-19 08:17:01.069
1048426,5772046,Entire home/apt,,São Vicente,12,5.0,3.0,2.0,54.0,5.0,38.71941,-9.12967,2015-03-19 08:48:31.918
1048515,3913558,Entire home/apt,,Santo António,58,4.5,2.0,1.0,42.0,3.0,38.722129,-9.143071,2015-03-19 10:45:28.558
1048929,921188,Entire home/apt,,Estrela,2,4.5,4.0,1.0,118.0,4.0,38.707644,-9.158416,2015-03-19 08:35:41.787
1049659,3455628,Entire home/apt,,Arroios,44,4.0,5.0,2.0,70.0,2.0,38.716974,-9.138162,2015-03-19 07:48:27.122
1050509,5778494,Private room,,Penha de França,3,4.5,2.0,1.0,42.0,1.0,38.732942,-9.127833,2015-03-19 09:32:44.671
1050645,5774321,Entire home/apt,,Santa Maria Maior,9,4.5,,4.0,195.0,3.0,38.709752,-9.128892,2015-03-19 07:04:33.646
1050741,1549585,Entire home/apt,,Misericórdia,18,4.0,4.0,2.0,58.0,3.0,38.709706,-9.151942,2015-03-19 09:02:14.026
1051719,1759791,Entire home/apt,,Misericórdia,2,5.0,,7.0,348.0,3.0,38.714905,-9.146281,2015-03-19 08:03:21.663
1052466,5795275,Entire home/apt,,Estrela,66,5.0,4.0,1.0,97.0,2.0,38.708774,-9.164468,2015-03-19 07:38:06.598
1054837,5809174,Entire home/apt,,Ajuda,35,4.5,2.0,1.0,54.0,3.0,38.705764,-9.201249,2015-03-19 09:02:17.159
1056297,4043364,Entire home/apt,,Santa Maria Maior,109,5.0,3.0,1.0,85.0,2.0,38.710675,-9.139805,2015-03-19 07:28:21.454
1056484,5818978,Entire home/apt,,São Vicente,52,4.5,4.0,1.0,56.0,3.0,38.716876,-9.124677,2015-03-19 11:29:25.353
1056544,2681397,Entire home/apt,,Misericórdia,47,5.0,,7.0,313.0,3.0,38.714903,-9.149379,2015-03-19 07:19:10.101
1057389,2174752,Entire home/apt,,Misericórdia,0,,,2.0,111.0,2.0,38.707276,-9.143452,2015-03-19 08:51:14.020
1057685,2174752,Entire home/apt,,Misericórdia,3,5.0,4.0,1.0,111.0,2.0,38.710279,-9.1462,2015-03-19 09:44:38.025
1058088,5778494,Private room,,Penha de França,0,,1.0,1.0,35.0,1.0,38.734178,-9.130577,2015-03-19 07:27:21.146
1061822,5845216,Entire home/apt,,Beato,2,3.0,,2.0,49.0,3.0,38.73688,-9.122914,2015-03-19 10:37:00.654
1061919,3897446,Entire home/apt,,Misericórdia,7,4.5,,3.0,280.0,3.0,38.709973,-9.146923,2015-03-19 07:18:10.690
1062064,5845991,Entire home/apt,,Penha de França,13,5.0,4.0,1.0,70.0,4.0,38.735095,-9.130359,2015-03-19 10:19:04.546
1065341,4450024,Entire home/apt,,Misericórdia,50,4.5,3.0,2.0,77.0,,38.712106,-9.144881,2015-03-19 09:11:39.454
1065835,5863476,Private room,,Santo António,4,4.0,3.0,1.0,84.0,1.0,38.720354,-9.151485,2015-03-19 08:49:00.716
1068283,4972896,Entire home/apt,,Santa Maria Maior,22,4.5,4.0,1.0,114.0,4.0,38.711731,-9.137348,2015-03-19 12:01:39.165
1069495,5884168,Entire home/apt,,Misericórdia,58,4.5,,2.0,50.0,2.0,38.71387,-9.146214,2015-03-19 10:27:11.904
1071344,3897446,Entire home/apt,,Santa Maria Maior,2,4.0,5.0,3.0,102.0,3.0,38.712806,-9.142651,2015-03-19 11:45:23.161
1073166,4043364,Entire home/apt,,Santa Maria Maior,90,5.0,4.0,,111.0,2.0,38.711076,-9.140255,2015-03-19 06:55:41.422
1073666,5906232,Private room,,Santa Maria Maior,35,4.5,2.0,1.0,38.0,3.0,38.713641,-9.137891,2015-03-19 06:41:00.912
1074576,5911901,Private room,,Santo António,12,4.5,2.0,1.0,42.0,2.0,38.719686,-9.141676,2015-03-19 09:37:31.137
1075332,5916074,Entire home/apt,,Estrela,78,4.5,4.0,2.0,49.0,3.0,38.712649,-9.153331,2015-03-19 09:21:11.698
1075655,5918228,Entire home/apt,,Santo António,52,5.0,3.0,1.0,70.0,,38.720061,-9.142378,2015-03-19 10:50:14.746
1075787,4250075,Entire home/apt,,Santa Maria Maior,86,5.0,,4.0,166.0,3.0,38.71164,-9.137583,2015-03-19 08:09:04.413
1075901,2070841,Entire home/apt,,Olivais,21,4.0,5.0,2.0,54.0,3.0,38.766186,-9.114543,2015-03-19 10:36:05.556
1076750,3673432,Entire home/apt,,Santa Maria Maior,8,4.5,2.0,1.0,70.0,2.0,38.712194,-9.132427,2015-03-19 06:55:51.189
1077874,5906232,Private room,,Santa Maria Maior,50,4.5,2.0,1.0,35.0,3.0,38.710195,-9.135385,2015-03-19 08:58:40.833
1077937,5931121,Entire home/apt,,Alcântara,6,5.0,3.0,2.0,109.0,2.0,38.706378,-9.181335,2015-03-19 10:21:13.926
1077981,5931121,Entire home/apt,,Alcântara,1,5.0,3.0,2.0,109.0,3.0,38.706082,-9.181972,2015-03-19 11:19:58.096
1079214,4876381,Entire home/apt,,Misericórdia,51,4.5,3.0,2.0,91.0,3.0,38.711722,-9.143364,2015-03-19 10:16:57.019
1085634,5968047,Entire home/apt,,Misericórdia,137,5.0,2.0,1.0,56.0,1.0,38.709089,-9.146082,2015-03-19 10:43:21.299
1086201,5970450,Entire home/apt,,Estrela,10,4.5,3.0,2.0,45.0,1.0,38.707843,-9.154855,2015-03-19 11:59:23.217
1090171,4043364,Entire home/apt,,Santa Maria Maior,52,5.0,4.0,1.0,91.0,2.0,38.711898,-9.139891,2015-03-19 09:09:38.697
1091821,5998744,Entire home/apt,,Misericórdia,70,4.5,4.0,1.0,56.0,4.0,38.711256,-9.146693,2015-03-19 11:41:41.599
1094516,4949497,Private room,,Arroios,0,,2.0,1.0,35.0,14.0,38.728144,-9.143487,2015-03-19 09:02:08.894
1094811,6014879,Entire home/apt,,Campo de Ourique,0,,3.0,2.0,84.0,3.0,38.720217,-9.168231,2015-03-19 09:53:52.939
1095757,6020594,Entire home/apt,,Misericórdia,99,5.0,3.0,1.0,52.0,2.0,38.709153,-9.149808,2015-03-19 08:11:37.931
1096537,4160345,Entire home/apt,,Arroios,2,5.0,,4.0,139.0,3.0,38.727052,-9.140599,2015-03-19 08:26:45.354
1097012,6028324,Private room,,Santa Maria Maior,84,4.5,2.0,1.0,32.0,1.0,38.714845,-9.142036,2015-03-19 07:41:27.071
1097028,176410,Entire home/apt,,Misericórdia,66,4.0,5.0,2.0,70.0,2.0,38.712628,-9.151307,2015-03-19 08:00:28.652
1098546,6036710,Entire home/apt,,Santa Maria Maior,25,5.0,4.0,1.0,97.0,4.0,38.712151,-9.127517,2015-03-19 07:38:48.022
1098683,1549585,Entire home/apt,,Misericórdia,59,4.5,2.0,1.0,82.0,3.0,38.714903,-9.152707,2015-03-19 10:33:47.652
1100597,6027176,Private room,,Olivais,48,5.0,2.0,1.0,54.0,1.0,38.774991,-9.116482,2015-03-19 07:42:28.357
1100687,6046508,Entire home/apt,,Santo António,11,5.0,4.0,2.0,91.0,,38.725528,-9.143941,2015-03-19 09:36:37.664
1103297,6059572,Entire home/apt,,São Vicente,23,5.0,,3.0,125.0,2.0,38.714669,-9.12789,2015-03-19 10:41:54.760
1103607,176410,Entire home/apt,,Misericórdia,44,4.0,4.0,1.0,77.0,2.0,38.709102,-9.146971,2015-03-19 11:56:52.714
1106207,4450024,Entire home/apt,,Misericórdia,9,5.0,4.0,1.0,70.0,3.0,38.710263,-9.150893,2015-03-19 07:18:47.157
1106913,4043364,Entire home/apt,,Santa Maria Maior,86,5.0,4.0,1.0,91.0,2.0,38.71208,-9.14141,2015-03-19 11:26:06.598
1108205,176410,Entire home/apt,,Misericórdia,84,4.5,4.0,2.0,64.0,2.0,38.713539,-9.143469,2015-03-19 11:42:07.268
1109048,3897446,Entire home/apt,,Campo de Ourique,0,,2.0,1.0,84.0,3.0,38.715414,-9.154636,2015-03-19 07:46:15.414
1109652,1664323,Private room,,Arroios,4,4.5,2.0,1.0,25.0,7.0,38.733626,-9.143835,2015-03-19 09:44:19.640
1109655,1664323,Private room,,Arroios,5,4.5,2.0,1.0,25.0,10.0,38.733159,-9.143871,2015-03-19 09:48:42.487
1109704,5988892,Entire home/apt,,Santo António,57,4.5,2.0,1.0,56.0,2.0,38.720766,-9.144919,2015-03-19 10:52:44.218
1110107,4580196,Entire home/apt,,Arroios,9,5.0,5.0,2.0,84.0,3.0,38.720461,-9.141368,2015-03-19 08:29:07.557
1110128,3939034,Private room,,Santa Maria Maior,1,4.0,4.0,1.0,132.0,3.0,38.714527,-9.133784,2015-03-19 08:56:37.106
1112944,5506810,Entire home/apt,,Misericórdia,4,5.0,,10.0,780.0,3.0,38.706274,-9.141759,2015-03-19 08:56:42.031
1113013,6108315,Private room,,Misericórdia,21,4.5,2.0,1.0,42.0,2.0,38.712947,-9.147226,2015-03-19 10:25:55.821
1113112,2681397,Entire home/apt,,Santa Maria Maior,36,4.5,,5.0,202.0,3.0,38.710727,-9.131369,2015-03-19 07:09:50.686
1113994,6108352,Private room,,Santa Maria Maior,83,5.0,2.0,1.0,56.0,2.0,38.707663,-9.139219,2015-03-19 09:30:26.077
1114059,6114161,Entire home/apt,,Campolide,0,,2.0,1.0,78.0,3.0,38.735889,-9.1609,2015-03-19 10:56:02.606
1114715,176410,Entire home/apt,,Misericórdia,80,4.0,5.0,1.0,64.0,2.0,38.714453,-9.143148,2015-03-19 08:28:22.179
1114716,5920645,Entire home/apt,,São Vicente,106,5.0,2.0,1.0,49.0,,38.714947,-9.128865,2015-03-19 08:29:10.031
1114972,6119303,Entire home/apt,,Arroios,59,5.0,4.0,1.0,63.0,2.0,38.73352,-9.132051,2015-03-19 08:29:13.340
1115026,3953109,Entire home/apt,,Estrela,11,4.5,4.0,2.0,109.0,3.0,38.712265,-9.158644,2015-03-19 09:40:02.688
1115187,3953109,Entire home/apt,,Santo António,10,5.0,4.0,1.0,89.0,3.0,38.716062,-9.146892,2015-03-19 07:39:04.895
1116957,6130484,Entire home/apt,,Misericórdia,8,4.5,4.0,1.0,63.0,4.0,38.709385,-9.148648,2015-03-19 07:14:51.404
1116968,9716029,Entire home/apt,,Santa Maria Maior,50,4.5,2.0,1.0,63.0,3.0,38.714467,-9.131774,2015-03-19 07:27:16.569
1119065,6140990,Private room,,Penha de França,0,,2.0,1.0,107.0,5.0,38.737309,-9.129603,2015-03-19 08:25:51.664
1119142,2174752,Entire home/apt,,Santa Maria Maior,0,,2.0,1.0,153.0,2.0,38.711812,-9.133231,2015-03-19 10:06:34.576
1119501,6140990,Private room,,Penha de França,0,,1.0,1.0,107.0,4.0,38.73526,-9.130831,2015-03-19 06:54:33.952
1120763,4235131,Entire home/apt,,Estrela,3,4.5,,3.0,153.0,2.0,38.706689,-9.161153,2015-03-19 12:01:19.602
1121620,6153976,Private room,,Marvila,39,5.0,1.0,1.0,28.0,1.0,38.744554,-9.110221,2015-03-19 08:19:45.368
1122649,6158996,Private room,,Campo de Ourique,0,,3.0,1.0,56.0,3.0,38.719226,-9.164167,2015-03-19 08:26:02.252
1123997,6043166,Entire home/apt,,Misericórdia,14,4.5,,2.0,97.0,3.0,38.71431,-9.146325,2015-03-19 09:55:07.185
1124323,6167618,Entire home/apt,,São Vicente,29,4.5,5.0,3.0,84.0,4.0,38.719331,-9.132458,2015-03-19 11:28:21.098
1126009,4450024,Entire home/apt,,Santa Maria Maior,65,5.0,,3.0,111.0,,38.710879,-9.136577,2015-03-19 09:07:05.150
1126843,797627,Private room,,Penha de França,0,,2.0,1.0,46.0,2.0,38.733644,-9.129197,2015-03-19 10:32:51.602
1127505,6185960,Entire home/apt,,São Vicente,58,5.0,4.0,1.0,91.0,3.0,38.713676,-9.125195,2015-03-19 08:15:36.671
1128390,6153976,Private room,,Marvila,6,5.0,2.0,1.0,56.0,1.0,38.742495,-9.110583,2015-03-19 10:48:33.151
1129073,5878527,Private room,,Penha de França,66,4.5,2.0,1.0,49.0,2.0,38.728418,-9.123459,2015-03-19 08:56:51.000
1129089,4158968,Entire home/apt,,Alcântara,20,4.5,,6.0,278.0,3.0,38.700988,-9.190109,2015-03-19 09:16:41.939
1131611,2174752,Entire home/apt,,Santa Maria Maior,3,4.5,4.0,2.0,132.0,2.0,38.712329,-9.137313,2015-03-19 08:28:26.514
1133084,3021849,Private room,,São Vicente,11,5.0,2.0,1.0,49.0,3.0,38.716701,-9.131209,2015-03-19 07:13:43.765
1133189,3021849,Private room,,São Vicente,9,4.5,2.0,1.0,49.0,3.0,38.716831,-9.131095,2015-03-19 09:22:22.428
1133204,3021849,Private room,,São Vicente,0,,2.0,1.0,49.0,3.0,38.717025,-9.131226,2015-03-19 09:43:29.668
1133673,6041203,Entire home/apt,,Misericórdia,25,4.5,,2.0,188.0,3.0,38.710348,-9.146375,2015-03-19 08:46:27.257
1133855,6158814,Private room,,Santa Maria Maior,14,4.5,2.0,1.0,47.0,2.0,38.714618,-9.131603,2015-03-19 07:18:18.333
1135480,6226694,Private room,,São Vicente,1,5.0,2.0,1.0,61.0,1.0,38.720522,-9.127695,2015-03-19 09:05:50.990
1136924,3982638,Entire home/apt,,Santa Maria Maior,85,4.5,,3.0,84.0,2.0,38.711649,-9.138388,2015-03-19 07:13:47.220
1138965,5228152,Entire home/apt,,Arroios,1,5.0,4.0,1.0,70.0,3.0,38.716368,-9.139877,2015-03-19 07:05:16.830
1139151,1549585,Private room,,Arroios,8,4.5,5.0,1.0,77.0,3.0,38.717749,-9.139219,2015-03-19 11:00:33.157
1139960,1549585,Entire home/apt,,Arroios,11,4.0,3.0,1.0,58.0,3.0,38.71628,-9.138499,2015-03-19 11:57:30.418
1140141,6252967,Entire home/apt,,Campo de Ourique,2,5.0,4.0,1.0,56.0,5.0,38.717886,-9.165028,2015-03-19 10:15:01.212
1141467,6259775,Entire home/apt,,Arroios,9,4.5,5.0,3.0,97.0,5.0,38.736784,-9.134892,2015-03-19 11:16:57.308
1141518,6260071,Entire home/apt,,São Vicente,61,4.5,2.0,1.0,49.0,3.0,38.713734,-9.127021,2015-03-19 06:55:44.436
1143780,6271273,Entire home/apt,,São Vicente,30,4.5,2.0,1.0,70.0,1.0,38.713501,-9.125919,2015-03-19 11:29:59.052
1144323,6274216,Entire home/apt,,Santo António,27,5.0,4.0,3.0,97.0,3.0,38.719226,-9.152246,2015-03-19 06:42:38.087
1144446,6274892,Private room,,Arroios,0,,2.0,1.0,63.0,3.0,38.732533,-9.143476,2015-03-19 09:13:01.086
1144769,3975939,Entire home/apt,,Santa Maria Maior,51,4.5,4.0,1.0,42.0,,38.711591,-9.129848,2015-03-19 10:41:22.118
1144893,6277622,Entire home/apt,,São Vicente,7,4.0,5.0,1.0,81.0,1.0,38.713757,-9.127451,2015-03-19 07:50:49.476
1145563,6277622,Entire home/apt,,Santa Maria Maior,6,4.0,3.0,1.0,70.0,1.0,38.7116,-9.126773,2015-03-19 11:17:07.759
1148064,6293975,Entire home/apt,,São Vicente,5,4.5,4.0,1.0,77.0,2.0,38.714552,-9.130131,2015-03-19 09:58:50.109
1148228,6294769,Entire home/apt,,Misericórdia,15,5.0,2.0,0.0,39.0,4.0,38.709183,-9.151655,2015-03-19 08:00:11.601
1150049,914126,Entire home/apt,,Santa Maria Maior,6,4.5,,3.0,139.0,2.0,38.711062,-9.137728,2015-03-19 08:36:15.635
1150070,6304160,Entire home/apt,,Misericórdia,31,5.0,,3.0,167.0,3.0,38.712307,-9.145955,2015-03-19 09:04:12.639
1153027,6319121,Entire home/apt,,Misericórdia,15,4.5,3.0,1.0,56.0,2.0,38.712328,-9.151372,2015-03-19 06:43:06.837
1154345,1119812,Entire home/apt,,Santo António,5,4.0,5.0,2.0,104.0,3.0,38.720758,-9.145988,2015-03-19 07:28:56.051
1157117,6340750,Private room,,Arroios,58,4.5,2.0,1.0,21.0,2.0,38.725089,-9.130995,2015-03-19 12:04:06.023
1157887,6345051,Entire home/apt,,São Domingos de Benfica,12,5.0,4.0,1.0,70.0,3.0,38.74675,-9.168945,2015-03-19 12:07:00.923
1162287,6366739,Entire home/apt,,Santa Maria Maior,73,4.5,,2.0,42.0,,38.712322,-9.128296,2015-03-19 07:35:40.929
1162896,6317960,Entire home/apt,,Arroios,56,5.0,4.0,2.0,70.0,2.0,38.71713,-9.137708,2015-03-19 09:38:08.143
1163174,499631,Entire home/apt,,Santa Maria Maior,76,4.5,4.0,1.0,53.0,3.0,38.712671,-9.128009,2015-03-19 10:07:13.679
1163620,3194928,Private room,,Estrela,0,,,1.0,209.0,5.0,38.708024,-9.161342,2015-03-19 08:40:15.866
1166582,405842,Entire home/apt,,Campolide,0,,3.0,2.0,49.0,2.0,38.728302,-9.165349,2015-03-19 11:55:12.051
1167402,6392918,Entire home/apt,,Santa Maria Maior,1,5.0,4.0,1.0,84.0,3.0,38.714647,-9.134823,2015-03-19 07:29:54.352
1167624,6270667,Entire home/apt,,Santa Maria Maior,68,4.5,,2.0,65.0,3.0,38.711362,-9.133522,2015-03-19 06:49:39.301
1168772,1549585,Private room,,Arroios,6,4.5,4.0,1.0,70.0,4.0,38.72336,-9.138114,2015-03-19 09:21:53.830
1168885,1675942,Entire home/apt,,Santa Maria Maior,91,5.0,4.0,0.0,63.0,2.0,38.710395,-9.138389,2015-03-19 11:53:53.219
1170454,6408128,Entire home/apt,,Santa Maria Maior,66,4.5,4.0,1.0,91.0,1.0,38.71026,-9.132074,2015-03-19 07:07:22.603
1174251,3953109,Entire home/apt,,Campo de Ourique,4,5.0,,4.0,209.0,3.0,38.717443,-9.162516,2015-03-19 11:39:38.273
1175357,2644971,Private room,,Belém,2,4.5,3.0,1.0,84.0,2.0,38.697868,-9.195899,2015-03-19 07:51:13.685
1176269,1416183,Entire home/apt,,Santa Maria Maior,26,4.5,4.0,1.0,74.0,3.0,38.712277,-9.132296,2015-03-19 10:58:15.572
1177385,2105195,Entire home/apt,,Santa Maria Maior,75,4.5,2.0,1.0,63.0,4.0,38.712078,-9.125446,2015-03-19 07:29:11.148
1177508,6442592,Entire home/apt,,Santo António,17,5.0,2.0,1.0,91.0,2.0,38.721563,-9.146401,2015-03-19 10:05:01.989
1179457,5799522,Shared room,,Santo António,13,4.5,,1.0,17.0,2.0,38.72241,-9.142999,2015-03-19 07:56:26.183
1179865,1549585,Entire home/apt,,Santa Maria Maior,55,4.5,,1.0,97.0,3.0,38.710542,-9.129793,2015-03-19 11:13:39.782
1180199,6456801,Entire home/apt,,Santa Maria Maior,1,5.0,5.0,2.0,104.0,3.0,38.711639,-9.13612,2015-03-19 07:26:08.909
1182305,6467743,Private room,,São Domingos de Benfica,2,4.5,2.0,1.0,42.0,2.0,38.744902,-9.181054,2015-03-19 08:35:48.495
1182842,6470492,Entire home/apt,,Estrela,2,5.0,3.0,1.0,56.0,5.0,38.709126,-9.15785,2015-03-19 09:07:54.997
1184679,1756107,Entire home/apt,,Misericórdia,13,4.5,,3.0,246.0,3.0,38.713149,-9.151557,2015-03-19 10:07:27.912
1185239,6424889,Private room,,Santa Maria Maior,20,4.5,2.0,1.0,31.0,2.0,38.714544,-9.131526,2015-03-19 11:11:18.697
1185656,5537580,Entire home/apt,,Campo de Ourique,6,4.0,,5.0,42.0,2.0,38.720131,-9.166294,2015-03-19 09:05:38.494
1185697,6484065,Entire home/apt,,São Vicente,20,5.0,2.0,1.0,70.0,2.0,38.714324,-9.128418,2015-03-19 09:59:45.912
1187051,6490800,Private room,,Avenidas Novas,1,5.0,1.0,1.0,35.0,2.0,38.738928,-9.149747,2015-03-19 11:38:43.334
1188173,1549585,Entire home/apt,,Arroios,15,4.0,4.0,1.0,109.0,3.0,38.72234,-9.136619,2015-03-19 08:10:49.928
1188395,3642889,Entire home/apt,,Arroios,5,5.0,4.0,1.0,97.0,3.0,38.716697,-9.139425,2015-03-19 07:30:27.191
1190746,2372841,Entire home/apt,,Estrela,12,5.0,3.0,1.0,111.0,3.0,38.705547,-9.167572,2015-03-19 08:27:26.611
1191029,6510688,Entire home/apt,,Santa Maria Maior,23,4.5,,3.0,77.0,3.0,38.709932,-9.130433,2015-03-19 09:02:21.600
1194214,4334270,Private room,,Santa Maria Maior,12,4.5,2.0,1.0,52.0,4.0,38.714533,-9.137374,2015-03-19 11:31:52.653
1194244,2411748,Entire home/apt,,Avenidas Novas,3,5.0,4.0,2.0,125.0,2.0,38.738339,-9.143705,2015-03-19 06:43:43.387
1194273,6526491,Entire home/apt,,Misericórdia,28,5.0,3.0,1.0,102.0,2.0,38.714456,-9.143984,2015-03-19 07:20:21.755
1195958,6535508,Entire home/apt,,Campo de Ourique,9,5.0,2.0,1.0,56.0,1.0,38.721433,-9.159986,2015-03-19 10:26:32.638
1196872,6539257,Entire home/apt,,Misericórdia,47,4.5,,4.0,139.0,3.0,38.707287,-9.146023,2015-03-19 08:04:28.918
1197060,3250665,Entire home/apt,,Misericórdia,35,4.5,,2.0,68.0,2.0,38.709105,-9.145741,2015-03-19 06:43:54.432
1197069,1496930,Entire home/apt,,Avenidas Novas,5,4.5,,5.0,223.0,,38.732006,-9.146246,2015-03-19 06:54:41.351
1198570,3987199,Entire home/apt,,São Vicente,87,4.5,2.0,1.0,49.0,2.0,38.717128,-9.127049,2015-03-19 11:37:41.758
1199811,6552656,Entire home/apt,,Santa Maria Maior,10,4.5,,3.0,118.0,3.0,38.711596,-9.132051,2015-03-19 10:44:28.089
1201873,176410,Entire home/apt,,Santa Maria Maior,55,4.5,5.0,2.0,77.0,1.0,38.709639,-9.142281,2015-03-19 11:03:18.162
1202634,6569058,Entire home/apt,,Santo António,10,4.5,,3.0,223.0,2.0,38.718894,-9.145312,2015-03-19 10:54:15.768
1202789,5799522,Private room,,Santo António,0,,2.0,1.0,70.0,1.0,38.722791,-9.143748,2015-03-19 08:40:43.611
1203721,6571214,Entire home/apt,,Campo de Ourique,2,4.5,4.0,2.0,86.0,2.0,38.720284,-9.168153,2015-03-19 06:50:22.493
1203948,647439,Entire home/apt,,Arroios,48,4.5,2.0,1.0,45.0,2.0,38.728009,-9.137509,2015-03-19 11:40:08.244
1204447,4643082,Entire home/apt,,Santa Maria Maior,38,4.5,4.0,1.0,58.0,2.0,38.71226,-9.129974,2015-03-19 11:23:00.253
1204875,5297837,Entire home/apt,,Santa Maria Maior,28,5.0,,2.0,132.0,3.0,38.708723,-9.135946,2015-03-19 09:31:09.059
1208324,4165190,Entire home/apt,,Santa Maria Maior,15,5.0,2.0,1.0,84.0,2.0,38.713099,-9.135149,2015-03-19 06:44:20.351
1208909,3634413,Entire home/apt,,Santa Maria Maior,44,4.5,5.0,2.0,106.0,2.0,38.708432,-9.133477,2015-03-19 08:11:18.416
1208910,3634413,Entire home/apt,,Arroios,0,,4.0,2.0,107.0,1.0,38.722759,-9.136191,2015-03-19 08:12:32.626
1209286,6604033,Entire home/apt,,Santa Maria Maior,38,4.5,3.0,1.0,77.0,2.0,38.712341,-9.130139,2015-03-19 10:48:47.855
1209322,3551389,Entire home/apt,,Misericórdia,3,4.0,5.0,2.0,104.0,2.0,38.710888,-9.150841,2015-03-19 11:37:54.953
1211078,3551389,Entire home/apt,,Misericórdia,6,4.0,5.0,2.0,104.0,2.0,38.708891,-9.150814,2015-03-19 10:48:51.342
1211272,3250665,Entire home/apt,,Misericórdia,6,5.0,,4.0,124.0,2.0,38.71123,-9.146767,2015-03-19 09:27:06.045
1211630,3953109,Entire home/apt,,Santo António,12,4.0,2.0,1.0,74.0,3.0,38.717628,-9.154481,2015-03-19 11:42:46.676
1211749,815805,Entire home/apt,,Santa Maria Maior,31,4.5,4.0,2.0,132.0,3.0,38.708784,-9.133749,2015-03-19 08:40:47.280
1213321,6569058,Entire home/apt,,Santo António,7,4.5,,1.0,91.0,2.0,38.719598,-9.144125,2015-03-19 09:28:31.512
1213489,6569058,Entire home/apt,,Arroios,7,4.5,,2.0,139.0,2.0,38.72281,-9.139928,2015-03-19 07:37:16.224
1214801,6569058,Entire home/apt,,Santo António,10,4.5,4.0,1.0,97.0,2.0,38.722232,-9.14095,2015-03-19 08:16:03.453
1214837,6340750,Private room,,Penha de França,39,4.0,4.0,1.0,28.0,2.0,38.72349,-9.131223,2015-03-19 09:03:04.129
1215943,823780,Entire home/apt,,Santa Maria Maior,24,5.0,5.0,3.0,84.0,4.0,38.711887,-9.130819,2015-03-19 10:50:26.865
1216499,6638070,Entire home/apt,,São Vicente,12,4.5,4.0,1.0,68.0,3.0,38.719456,-9.126508,2015-03-19 11:50:10.896
1216731,6569058,Entire home/apt,,Santo António,7,4.0,4.0,1.0,70.0,1.0,38.721347,-9.143818,2015-03-19 11:17:19.434
1216792,6569058,Entire home/apt,,Santo António,1,5.0,,2.0,89.0,1.0,38.722019,-9.143686,2015-03-19 07:09:16.014
1216812,6569058,Entire home/apt,,Santo António,4,4.5,,4.0,167.0,2.0,38.723315,-9.142589,2015-03-19 07:32:02.878
1218713,5439541,Entire home/apt,,Arroios,1,5.0,4.0,2.0,139.0,4.0,38.722621,-9.136199,2015-03-19 09:50:40.348
1221781,1794425,Entire home/apt,,Misericórdia,40,5.0,4.0,2.0,84.0,3.0,38.715877,-9.152123,2015-03-19 09:45:23.110
1221995,5799522,Private room,,Santo António,0,,4.0,1.0,111.0,1.0,38.723141,-9.144471,2015-03-19 08:49:18.727
1223036,6653216,Private room,,Santo António,44,4.0,2.0,1.0,39.0,2.0,38.723362,-9.142435,2015-03-19 09:11:07.922
1225349,1969564,Entire home/apt,,Santa Maria Maior,4,4.5,,3.0,138.0,2.0,38.713484,-9.124325,2015-03-19 09:23:31.110
1226195,6688628,Entire home/apt,,Misericórdia,13,4.5,4.0,2.0,77.0,3.0,38.712207,-9.14472,2015-03-19 11:06:17.673
1226291,1549585,Entire home/apt,,Misericórdia,9,4.0,2.0,1.0,70.0,3.0,38.709517,-9.147325,2015-03-19 07:40:04.941
1227591,538862,Private room,,Avenidas Novas,1,5.0,2.0,1.0,42.0,3.0,38.736255,-9.148631,2015-03-19 08:04:04.901
1229115,6704599,Entire home/apt,,Santa Maria Maior,48,4.5,2.0,1.0,42.0,2.0,38.714762,-9.136843,2015-03-19 07:49:19.472
1230187,915146,Entire home/apt,,São Domingos de Benfica,3,5.0,3.0,1.0,70.0,21.0,38.753743,-9.174478,2015-03-19 08:49:29.827
1231132,6714508,Entire home/apt,,São Vicente,12,5.0,4.0,2.0,70.0,5.0,38.720447,-9.12954,2015-03-19 07:14:35.733
1231298,6569058,Entire home/apt,,Santo António,26,4.0,2.0,1.0,56.0,2.0,38.719572,-9.14092,2015-03-19 10:43:50.807
1232619,6523947,Entire home/apt,,Alvalade,3,5.0,2.0,,68.0,4.0,38.748383,-9.151554,2015-03-19 11:39:30.128
1232734,6722816,Entire home/apt,,Santa Maria Maior,53,5.0,5.0,2.0,54.0,3.0,38.710678,-9.129659,2015-03-19 08:32:47.075
